Points,Company,Ticker,Przychody ze sprzedazy r/r,Przychody ze sprzedazy branza r/r,Zysk ze sprzedazy r/r,Zysk ze sprzedazy branza r/r,Zysk operacyjny (EBIT),Zysk operacyjny branza (EBIT),Zysk Netto,Zysk Netto branza
170.00,INPRO,INP,+103.50,-0.10,+155.41,+0.17,+142.97,+6.19,+121.70,-11.58
170.00,INTERAOLT,IRL,+265.19,+34.14,+2095.21,+9.97,+2156.87,+30.47,+162.60,+6.08
170.00,KSGAGRO,KSG,+279.29,+3.54,+102.68,-7.72,+102.68,+0.89,+232.31,+11.26
170.00,SKARBIEC,SKH,+196.83,+14.17,+2731.23,+15.11,+2968.96,+0.70,+14965.24,+20.95
170.00,VINDEXUS,VIN,+114.89,-7.84,+16440.44,+32.70,+3804.84,+91.95,+773.99,+88.72
160.00,MOSTALPLC,MSP,+94.40,+2.04,+128.34,-1.75,+135.46,-7.19,+115.65,-10.63
160.00,NEWAG,NWG,+67.70,-9.90,+485.23,-15.64,+419.08,-13.01,+256.54,-12.60
160.00,TATRY,TMR,+53.33,+11.30,+122.96,-16.66,+122.96,+58.08,+102.34,+91.28
160.00,VOTUM,VOT,+59.11,+8.54,+177.41,+100.00,+144.06,+129.09,+116.75,+116.75
150.00,ANSWEAR,ANR,+22.19,+4.78,+21655.56,+16.49,+331.77,+16.78,+185.29,+11.47
150.00,ATENDE,ATD,+25.03,+6.75,+346.11,+24.14,+472.68,+13.47,+268.91,+19.35
150.00,ATREM,ATR,+33.28,+2.04,+166.24,-1.75,+168.33,-7.19,+172.34,-10.63
150.00,BIOPLANET,BIP,+10.67,+10.67,+417.84,-2.02,+278.16,+0.34,+345.08,-17.20
150.00,BLOOBER,BLO,+49.22,-6.45,+169.69,+0.38,+376.79,+7.42,+296.72,+23.50
150.00,BIOMAXIMA,BMX,+19.05,+4.02,+562.96,-0.24,+3466.67,+10.06,+939.78,+12.64
150.00,CPIEUROPE,CPI,+17.08,-0.10,+421.63,+0.17,+361.40,+6.19,+165.71,-11.58
150.00,DEBICA,DBC,+34.71,+5.54,+207.78,+32.36,+147.19,+27.22,+165.14,-0.96
150.00,ELEKTROTI,ELT,+36.82,+0.18,+199.81,-10.92,+605.10,-0.50,+249.23,+4.69
150.00,EUCO,EUC,+23.10,+8.54,+128.16,+100.00,+129.09,+129.09,+125.87,+116.75
150.00,FORTE,FTE,+4.11,+4.11,+1024.34,-49.78,+175.03,-48.35,+2313.60,-186.34
150.00,IFIRMA,IFI,+15.40,+6.75,+181.53,+24.14,+176.12,+13.47,+158.19,+19.35
150.00,IZOLACJA,IZO,+3.45,+2.04,+745.45,-1.75,+181.01,-7.19,+204.76,-10.63
150.00,BOGDANKA,LWB,+6.49,+7.02,+337.79,+215.14,+611.57,+295.35,+563.67,+270.75
150.00,NOVATURAS,NTU,+14.01,+20.86,+222.07,+73.46,+225.45,+9.70,+196.77,+20.70
150.00,PJPMAKRUM,PJP,+7.39,+2.04,+175.50,-1.75,+156.43,-7.19,+125.45,-10.63
150.00,PEPEES,PPS,+37.61,+1.22,+211.37,-17.67,+250.99,-17.80,+115.07,-18.89
150.00,PTWP,PTW,+3.47,+8.33,+620.40,+11.22,+4727.38,+21.24,+354.09,+7.22
150.00,POLIMEXMS,PXM,+45.07,+2.04,+723.62,-1.75,+514.49,-7.19,+320.09,-10.63
150.00,RAINBOW,RBW,+21.82,+20.86,+1010.93,+73.46,+437.87,+9.70,+374.66,+20.70
150.00,SELENAFM,SEL,+0.01,+0.18,+330.68,-10.92,+166.84,-0.50,+246.49,+4.69
150.00,SPYROSOFT,SPR,+27.01,+5.24,+138.88,+11.16,+123.03,+14.97,+164.66,+17.70
150.00,UNIBEP,UNI,+30.96,+0.18,+112.68,-10.92,+106.96,-0.50,+101.17,+4.69
150.00,XPLUS,XPL,+6.75,+6.75,+262.60,+24.14,+178.04,+13.47,+170.40,+19.35
150.00,NEPTIS,YAN,+17.86,+6.75,+1957.81,+24.14,+1036.00,+13.47,+808.57,+19.35
150.00,STAPORKOW,ZUK,+48.12,-6.72,+183.10,-26.85,+186.40,-34.99,+153.37,-27.62
140.00,ASMGROUP,ASM,+16.21,+6.74,+121.23,+31.93,+122.78,+36.13,+76.10,+21.63
140.00,CORMAY,CRM,+1.79,+11.02,+98.70,+17.36,+110.22,+14.71,+327.97,-15.26
140.00,GRENEVIA,GEA,+3.03,-6.72,+79.17,-26.85,+343.48,-34.99,+1590.00,-27.62
140.00,MERCATOR,MRC,+27.80,-28.57,+73.13,+28.14,+289.89,+3.49,+888.64,+2.88
140.00,NOCTILUCA,NCL,+235.78,+16.85,+74.87,+31.41,+74.89,+19.38,+71.50,+29.24
140.00,REGNON,REG,+600.00,+8.53,+55.73,-3.17,+55.38,+7.15,+55.38,+27.42
140.00,SELVITA,SLV,+18.18,+18.18,+109.97,-1.81,+113.30,-3.88,+53.84,-3.88
140.00,WASKO,WAS,+21.73,+6.75,+253.40,+24.14,+146.03,+13.47,+88.40,+19.35
130.00,AILLERON,ALL,+43.62,+5.24,+46.01,+11.16,+114.58,+14.97,+157.07,+17.70
130.00,DADELO,DAD,+52.86,+4.78,+62.61,+16.49,+72.78,+16.78,+74.10,+11.47
130.00,LABOPRINT,LAB,+5.11,+0.95,+114.77,-2.64,+406.08,-23.39,+2.19,-9.56
130.00,RAWLPLUG,RWL,+9.84,-6.72,+93.54,-26.85,+53.99,-34.99,+484.50,-27.62
120.00,DIGITANET,DIG,+24.69,+7.22,+73.55,-4.55,+73.95,-4.55,+52.25,-10.95
120.00,PURE,PUR,+26.92,+18.18,+82.54,-1.81,+82.74,-3.88,+73.08,-3.88
120.00,QUANTUM,QNT,+16.69,+5.24,+75.01,+11.16,+72.95,+14.97,+80.43,+17.70
120.00,SNTVERSE,SVE,+45.17,+14.61,+51.47,-42.16,+52.44,-10.29,+80.25,-25.74
110.00,CASPAR,CSR,+30.37,+5.12,+36.50,-16.81,+59.17,-19.73,+91.24,-26.65
110.00,ESOTIQ,EAH,+14.57,+5.92,+73.10,+4.76,+59.64,+2.92,+49.42,-2.08
110.00,MOLECURE,MOC,+2035.71,+18.18,+24.62,-1.81,+23.57,-3.88,+24.18,-3.88
110.00,MOVIEGAMES,MOV,+88.38,-6.45,+39.09,+0.38,+4.26,+7.42,+79.05,+23.50
110.00,PASSUS,PAS,+16.75,+5.24,+37.85,+11.16,+37.90,+14.97,+202.74,+17.70
110.00,PLAYWAY,PLW,+1.13,-6.45,+11.91,+0.38,+0.49,+7.42,+167.45,+23.50
110.00,QUERCUS,QRS,+21.35,+5.12,+24.95,-16.81,+102.78,-19.73,+41.00,-26.65
110.00,SYGNITY,SGN,+17.01,+6.75,+50.75,+24.14,+50.94,+13.47,+42.37,+19.35
110.00,TOYA,TOA,+18.52,+0.03,+37.75,-0.99,+52.65,-3.09,+51.25,-4.06
100.00,DIAG,DIA,+23.74,+10.64,+27.45,+21.33,+48.54,-0.90,+79.92,+54.01
100.00,GRUPRACUJ,GPP,+8.03,+8.33,+4.07,+11.22,+7.47,+21.24,+61.45,+7.22
100.00,IZOSTAL,IZS,+91.71,-9.90,+42.37,-15.64,+35.48,-13.01,+0.09,-12.60
100.00,MEGARON,MEG,+2.83,+0.18,+33.18,-10.92,+38.56,-0.50,+50.35,+4.69
100.00,PANOVA,NVA,+41.37,+2.04,+27.61,-1.75,+28.98,-7.19,+79.53,-10.63
