Points,Company,Ticker,Cena akcji,Zysk na akcje(EPS),Cena do Zysku(PE),Przychody ze sprzedazy r/r,Przychody ze sprzedazy branza r/r,Zysk ze sprzedazy r/r,Zysk ze sprzedazy branza r/r,Zysk operacyjny (EBIT),Zysk operacyjny branza (EBIT),Zysk Netto,Zysk Netto branza
170.00,INTERAOLT,IRL,11.54,3.3191,3.4768461329878577,+265.19,+34.14,+2095.21,+9.97,+2156.87,+30.47,+162.60,+6.08
170.00,KSGAGRO,KSG,3.07,0.661185086551265,4.643177927701138,+279.29,+3.54,+102.68,-8.02,+102.68,+0.89,+232.31,+11.26
170.00,VINDEXUS,VIN,11.35,2.164615384615385,5.2434257285003545,+114.89,-7.84,+16440.44,+32.70,+3804.84,+91.95,+773.99,+88.72
160.00,MOSTALPLC,MSP,15.4,-1.0755,-14.318921431892145,+94.40,+1.01,+128.34,+0.28,+135.46,-5.06,+115.65,+1.83
160.00,NEWAG,NWG,72.3,3.5679776984893845,20.26357957074969,+67.70,-4.27,+485.23,-13.05,+419.08,-9.95,+256.54,-12.11
160.00,TATRY,TMR,88.5,3.522617082961299,25.123366495912805,+53.33,+11.30,+122.96,-16.66,+122.96,+58.08,+102.34,+91.28
160.00,VOTUM,VOT,44.35,11.60925,3.820229558326335,+59.11,+8.54,+177.41,+100.00,+144.06,+129.09,+116.75,+116.75
150.00,ANSWEAR,ANR,29.9,-0.1101092109515991,-271.54858110047843,+22.19,+4.78,+21655.56,+16.49,+331.77,+16.49,+185.29,+10.56
150.00,ATENDE,ATD,3.11,-0.24232772856564877,-12.833859411831497,+25.03,+8.28,+346.11,+24.46,+472.68,+21.23,+268.91,+19.35
150.00,ATREM,ATR,31.7,2.029451752254775,15.619982078795644,+33.28,+1.01,+166.24,+0.28,+168.33,-5.06,+172.34,+1.83
150.00,BIOMAXIMA,BMX,14.6,0.12759001773858974,114.42901457943925,+19.05,+4.02,+562.96,-0.24,+3466.67,+10.06,+939.78,+12.64
150.00,CPIEUROPE,CPI,78.65,4.122515002990178,19.078159798800712,+17.08,-0.10,+421.63,+0.17,+361.40,+6.19,+165.71,-11.58
150.00,DATAWALK,DAT,94.2,-5.249611751347597,-17.94418415339353,+109.39,+8.28,+105.74,+24.46,+99.68,+21.23,+97.27,+19.35
150.00,DEBICA,DBC,82.6,13.50890221151582,6.114486485037005,+34.71,+5.54,+207.78,+32.36,+147.19,+27.22,+165.14,-0.96
